filename,title,text,date,topic,industry,region,topic_bool
2296, chain may rais price minimum wage hike, higher minimum wage sign law tuesday welcom relief million worker may also translat higher price hamburg pizza fast food item restaur chain said cent hour increas littl short term impact mani fast food chain alreadi pay worker rate feder mandat minimum long run industri offici fear worker alreadi earn new minimum wage rise hour next year look concern rippl effect bring said bruce cotton chief spokesman long john silver restaur inc lexington ky averag crew wage hour short term go impact said denni lynch spokesman wendi intern inc oper restaur unit state presid clinton sign law first increas minimum wage five year boost cent oct cent sept white hous estim new law mean rais million american worker mani restaur store small busi oppos increas say would prompt hire fewer peopl particularli young peopl look entri level job economist argu neg effect increas wage first impos feder govern cent hour would minim help get bill republican control congress packag billion tax break aim mostli small busi ad measur result higher minimum wage american restaur partner l p oper pizza hut restaur franchis expect total wage cost rise next month rais someon start last two month new minimum wage level also rais everybodi els said terri freund chief financi offic american restaur partner compens wichita kan base restaur oper hope rais price percent risk freund ad higher price keep custom away prompt scale back pizza item normal order beyond minimum wage requir competit worker cook deliveri driver counter staff forc mani fast food chain pay hire good help particularli metropolitan market competit driven increas restaur open particularli fast food casual dine establish neighbourhood pay hour get good worker wendi lynch said competit set wage fast food industri execut said competit worker sinc late although increas restaur open make search employe intens anoth problem fast food chain wage competit employ fast food worker exampl may abl earn night tip casual dine establish execut said qsr quick servic restaur even tougher keep kid said roger lipton presid lipton financi servic,1996-08-20,C13;C31;C42;CCAT;E41;ECAT;GCAT;GJOB;,I66100;,USA;,1
2297, blue chip end fed keep interest rate steadi, blue chip stock bound higher tuesday feder reserv decis keep interest rate unchang remov possibl roadblock market continu ralli dow jone industri averag close point put blue chip index within stone throw record close high set may broader market advanc issu led declin moder volum million share new york stock exchang central bank polici set feder open market committe end meet earli afternoon kept interest rate unchang allow wall street hurdl linger fear surpris increas expect neutralis interest rate factor price go higher said richard cripp chief market strategist legg mason wood walker fed expect hold interest rate steadi amid sign economi slow strong second quarter growth without inflat heat investor still prefer hold back polici maker announc keep short term rate unchang independ fed also sought stay line polit fire approach nov presidenti congression elect grow fastest pace two year second quarter economi look slow recent hous market weaken retail sale stall blue chip actual pare gain shortli fed news second look like buy rumour sell fact dow came back hard find indic anyth spectacular said joseph barthel chief invest strategist fahnestock co dow inspir ralli way liquid factor visibl safeti ad meanwhil weak high technolog stock pressur tech stud nasdaq composit index close point tobacco stock mostli higher despit news kansa becam th state arizona th sue tobacco industri recov medicaid cost smoker philip morri rose rjr nabisco slip smokeless tobacco maker ust rose loew ad hbo co maker softwar medic industri slump brokerag hous downgrad opinion compani perform griffin game soar news merger sun intern hotel sun intern fell tylan gener rose compani said put sale ad alreadi receiv inquiri potenti buyer first data fell morgan stanley trim earn estim firm among technolog issu cisco system lost com lost intel standard poor composit index stock fell american stock exchang index rose nyse composit index list common stock fell averag share unchang wilshir associ equiti index market valu nyse american nasdaq issu percent,1996-08-20,M11;MCAT;,I66100;,USA;,0
2298, u feder reserv hold interest rate steadi, rich miller econom correspond feder reserv held interest rate steadi tuesday amid sign economi slow burst growth second quarter without inflat heat decis central bank polici make feder open market committe wide expect left key feder fund rate commerci bank charg short term loan unchang percent feder open market committe meet end p gmt announc central bank spokesman joseph coyn said brief statement stock price rose fed announc dow jone industri averag ad point decis expect analyst said investor reliev nonetheless bond price end littl chang decis hold rate steadi kept fed line polit fire ahead nov presidenti congression elect fed rais interest rate given rather benign inflat data seen would polit lynch mob central bank said ken mayland chief economist st loui base bank group keycorp grow fastest pace two year second quarter economi appear slow recent hous market weaken retail sale stall analyst expect economi slow later year remain open question whether slow enough keep inflat check mean precautionari rate rise possibl later year fed evid help measur much expans slow economist said half economist survey reuter tuesday week forecast rate increas end year fed hold next polici make meet sept sinc cut rate quarter point januari central bank held rate steadi growth first wane wax david jone vice chairman wall street broker aubrey g lanston co said fed face tougher task next month part potenti pickup inflat bet central bank rais rate later year fed offici would probabl like push decis beyond elect said tuesday fed meet sandwich republican parti presidenti nomin convent last week san diego democrat next week chicago rate rise ahead elect would good news presid clinton drive win elect although would like littl immedi impact economi still consider momentum economi grew percent annual rate second quarter twice speed economist reckon sustain long term basi without fan inflat job market remain strong put extra money worker pocket portend continu solid consum spend percent unemploy rate hover six year low near level past forc employ bid wage attract worker feed inflat fed chairman alan greenspan told lawmak last month wage increas held check worker worri might lose job warn fear would eventu fade said central bank need remain vigil prevent wage driven rise inflat,1996-08-20,E12;ECAT;M13;M131;MCAT;,I66100;,USA;,0
2299, lloyd ceo question recoveri suit u, ronald sandler chief execut lloyd london tuesday underw second day court interrog year old insur market multibillion dollar recoveri plan defend critic lloyd solvenc sandler question four hour feder courtroom lawyer american investor lloyd u district judg robert payn lloyd complex restructur plan settl larg loss ten thousand investor lloyd worldwid quaintli known name anxious await outcom case u investor appli injunct block recoveri plan rescu propos lloyd reinsur billion dollar liabil includ pollut asbestosi relat claim unit state new compani call equita propos also includ billion pound billion cash offer name design offset cost equita investor must vote plan aug suit name plaintiff seek block plan detail financi inform releas contend lloyd breach u disclosur law sandler monday said plan crucial lloyd solvenc payn question sandler hour ask lloyd plan pay liabil would happen invest made money need pay liabil lloyd offici believ time year liabil extinguish sandler said ad money left would go chariti ask judg benefactor would sandler said abl answer payn told sandler firmli compani need plan disposit leftov asset would need told benefactor would payn also ask whether lloyd abl pay total premium u investor back recoveri plan sandler said unabl answer proceed resum afternoon break lunch payn earlier criticis u secur exchang commiss refus determin whether lloyd subject u secur law legal challeng complic friday sec neutral posit issu payn said sec would second opportun respond request rule separ tuesday morn lloyd receiv boost anoth court case new york dismiss action brought market four name claim lloyd knew long ago extent liabil face name pleas decis name enter commit u k law pleas u court continu recognis said lloyd u execut peter lane,1996-08-20,C12;CCAT;GCAT;GCRIM;,I82003;,UK;USA;,1
2300, activ stock nasdaq trade, follow activ issu nasdaq trade tuesday cisco system iomega corp vike offic hbo co lm eric tel ascend comm oracl corp intel corp three com cp tele comm inc,1996-08-20,M11;MCAT;,I82003;,USA;,0
2301, nyse close averag, price new york stock exchang close mostli higher moder trade tuesday dow jone industri averag rose nyse composit fell averag price per share unchang gainer beat loser volum compar monday,1996-08-20,M11;MCAT;,I82003;,USA;,0
2302, ohio blue cross approv mln columbia hca deal, columbia hca healthcar corp propos million acquisit blue cross blue shield ohio clear hurdl tuesday health insur policyhold approv deal special meet blue cross said protestor outsid meet outnumb attend proxi mail advanc meet blue cross spokesman said protestor carri sign read stop merger said repres retire trade union member other blue cross current profit entiti blue cross columbia said acquisit reduc health care cost improv care could role model entir countri blue cross chairman chief execut offic john burri said meet opportun get doctor hospit insur work togeth benefit patient question deal rais consum activist policyhold ohio attorney gener nation blue cross blue shield associ other last week ohio congressman sherrod brown said ask feder trade commiss review propos brown said concern merger could reduc competit restrain trade said also concern blue cross patient might treat hospit own columbia columbia largest u hospit chain hospit includ three northeast ohio blue cross coverag area columbia revenu last year billion health insur policyhold insur million peopl gener billion annual premium joint ventur agreement columbia form new compani acquir insur oper busi blue cross continu oper provid reinsur guarante polici written new compani retain nation account feder employe programm retain blue cross manag new compani columbia blue cross said,1996-08-20,C18;C181;CCAT;,I82003;I95100;,USA;,1
2303, war hero colin powel hit road dole campaign, gulf war hero colin powel lent prestig popular republican presidenti ticket tuesday make surpris appear alongsid bob dole jack kemp campaign among u war veteran strong nation defenc veteran foreign war convent kentucki natur set powel retir gener help lead u troop victori oper desert storm gulf bob dole nearli die second world war one great lesson histori america prepar fight mani war greater war war come fight fewer war lesser war perhap war said dole dole accus clinton administr spend littl modernis u forc meet need u troop said nearli junior enlist personnel need food stamp make end meet last year happen wear american uniform dole said speech outlin career long commit veteran powel appar tri keep spotlight republican candid rumour may secretari state dole administr said dole discuss cabinet post prioriti get team elect well receiv speech republican convent san diego last week retir gener best sell author help parti project imag toler inclus republican hope powel moder social issu reel independ dole need oust presid bill clinton white hous nov powel remind well wisher come greet dole louisvil airport run anyth introduc dole vfw ralli prais champion strong defenc proudli wear purpl heart war wound offer servic leader great nation vision includ provid leadership world way reassur comfort friend put enemi clear notic strength defend defend interest ad head back washington dole kemp powel accompani wive tuesday paid brief visit ladi auxiliari meet nearbi auditorium women unabl see hear main event never come ladi first first first said delight marion watson louisvil chuckl former kansa senat told crowd get tax cut whether want one opinion poll show harmoni republican convent energi kemp infus campaign help dole cut clinton lead although clinton year younger dole still ahead latest poll show gap widen point dole run mate kemp made economi centrepiec joint campaign pledg cut incom tax percent balanc feder budget without harm veteran elderli given scant detail plan simpli matter presidenti got got said dole year congress took part mani budget struggl,1996-08-20,GCAT;GPOL;,I82003;I95100;,USA;,0
2304, clinton sign law rais minimum wage, presid bill clinton gave million american rais tuesday sign law bill increas minimum wage first time five year cent hour two year mani bill make differ abil keep famili togeth failur clinton said sign bill surround worker earn minimum wage children time got reward today get presid ad bill boost wage typic paid unskil worker restaur store cent oct cent sept sugarcoat pill mostli small busi pay higher labour cost hand billion tax break year pay part reimpos percent tax airlin ticket passag minimum wage boost victori clinton call measur ran presid fellow democrat forc legisl congress object mani republican truli remark piec legisl pro work pro busi pro famili clinton said elabor sign ceremoni white hous south lawn caus celebr american parti walk life faith ad made real season achiev america leader republican led congress pass minimum wage legisl hand clinton sign bill law ceremoni great fanfar includ music play u marin band clinton walk podium two parallel column american flag white hous perfectli frame behind sign bill minimum wage worker children pose around carri small girl pink dress arm walk crowd greet peopl,1996-08-20,C13;C42;CCAT;E14;E41;ECAT;GCAT;GJOB;GPOL;,I82003;I95100;,USA;,1
2305, decis near indiana tobacco lawsuit, anoth liabil challeng tobacco industri head toward decis court tuesday one famili man began smoke age six die lung cancer year later juri marion counti superior court expect begin deliber case wednesday thursday widow three teenag children richard roger indianapoli lawyer die age seek unspecifi damag lawsuit move toward close kansa becam th state arizona th sue tobacco industri recov medicaid cost smoker kansa attorney gener carla stoval arizona attorney gener grant wood held separ news confer discuss state litig also tuesday new york citi public advoc urg mayor rudolph giuliani sue tobacco industri recoup health care cost smoker public advoc mark green letter mayor said citi join group state citi san francisco effort obtain medicaid fund cigarett compani roger case similar hundr file across countri come heel one earlier month jacksonvil florida juri award man smoke year stricken lung cancer case juri said lucki strike smoke defect product cigarett maker brown williamson tobacco corp neglig fail inform public health risk smoke brown williamson tobacco corp unit britain b industri plc indianapoli case tri wound hung juri roger famili contend industri peddl addict product caus lung cancer roger origin file suit quit smoke year death diagnos cancer suit r j reynold tobacco co liggett group inc philip morri inc american tobacco co own brown williamson rjr nabisco hold corp parent compani r j reynold tobacco co liggett subsidiari brook group ltd philip morri inc subsidiari philip morri co inc lawyer roger famili said trial knew addict tri often quit industri sell addict product took choic away lawyer industri counter roger expos warn label cigarett pack least year fulli awar risk state,1996-08-20,C12;CCAT;GCAT;GCRIM;,I42900;,USA;,1
2306, kansa file lawsuit tobacco compani, kansa arizona file lawsuit tuesday major tobacco compani recov medicaid cost smoke relat ill join grow list state citi take big tobacco court kansa becam th state arizona th join anti tobacco litig kansa attorney gener carla stoval told news confer state lawsuit broadest file date stoval said addit tri recov medicaid cost would seek requir compani stop market product children disclos knowledg nicotin addict publish correct advertis fund public educ campaign smoke arizona attorney gener grant wood said state seek million damag relat medicaid cost arizona incur provid health care indig resid alleg tobacco relat ill wood said tobacco compani engag massiv illeg conspiraci repres smoke addict arizona lawsuit also alleg compani violat antitrust consum fraud fair trade practic addit monetari damag arizona lawsuit also ask court prohibit compani target children advertis promot sale wood alleg tobacco product kill estim arizona resid year among defend two lawsuit rj reynold tobacco co brown williamson tobacco corp philip morri co inc lorillard tobacco co inc american tobacco co public relat firm hill knowlton inc council tobacco research tobacco institut,1996-08-20,C12;CCAT;GCAT;GCRIM;,I42900;,USA;,1
2307, oil price slip refin shop bargain, world oil price slip tuesday market refin stung high crude premium poor margin began bargain cheaper barrel octob futur world benchmark brent blend crude north sea close cent barrel fail break day high broad feel market brent overh come trader said unoffici brent forward market prompt differenti date physic brent shrank suggest cargo would fetch lower premium week ahead could avert risk refineri run less crude system pump price product market also wait direct u stock data due later tuesday forecast show million barrel build heat oil diesel stock run winter season gasolin give way heat oil guid light crude price low inventori build unit state larg support north sea west african market million barrel distil rich north sea grade head tran atlant last week alon crude oil price dollar per barrel aug aug close close date brent ipe london brent futur oct nymex light crude futur sept,1996-08-20,M14;M143;MCAT;,I42900;,UK;,0
2308, fed decid keep interest rate steadi, rich miller econom correspond u feder reserv opt tuesday hold interest rate steadi amid sign economi cool without inflat heat decis central bank polici make feder open market committe wide expect left key feder fund rate commerci bank charg overnight money unchang percent feder open market committe meet end p gmt announc central bank spokesman joseph coyn said brief statement decis hold rate steadi keep independ fed line polit fire approach nov presidenti congression elect grow fastest pace two year second quarter economi look slow recent hous market weaken retail sale stall surpris feder reserv felt justifi sit hand sinc mani mix signal economi said bill cheney chief economist boston base john hancock financi servic analyst expect economi lose momentum second half continu remain open question whether slow enough keep inflat check mean precautionari rate rise possibl later year fed evid help measur much expans slow economist said half economist survey reuter last week forecast rate increas end year fed offici would prefer act last month two elect help hancock cheney said ad believ next rate move could well tuesday fomc meet sandwich republican parti presidenti nomin convent last week san diego democrat next week chicago rate rise ahead elect would good news presid clinton drive win second term although would like littl immedi impact economi still consider forward momentum economi grew percent annual pace second quarter twice speed economist reckon sustain long term basi without fan inflat job market remain buoyant put extra money worker pocket portend continu solid consum spend fed hold next polici make fomc meet sept sinc cut rate one quarter percentag point januari central bank held monetari polici steadi,1996-08-20,E12;ECAT;,I42900;,USA;,0
2309, japan eu may aid u ag trade reform, unit state may seek inform allianc japan european union win world trade rule assur fair play state trade enterpris agricultur depart offici said tuesday new round world trade talk schedul begin agricultur secretari dan glickman said earlier summer u prioriti would elimin unfair export subsidi control call ste richard schroeter deputi administr intern trade polici agricultur depart said could ground japan eu assist u drive look export subsidi unit state eu afford elimin reduc subsidi certain practic countri equival export subsidi allow continu schroeter said intern sweeten symposium speak exampl state trade enterpris produc financ oper view equival disciplin avoid disadvantag produc far japan eu unit state met market access commit world trade rule said nation wish see market open step schroeter said go take part issu state trade enterpris u view ste often monopoli control import export obstruct trade engag unfair sale practic u offici frequent cite canadian wheat board australian dairi export complaint state trade enterpris previou trade round japan import quota eu farm subsidi major u target,1996-08-20,E51;E512;ECAT;G15;G158;GCAT;,I42900;,EEC;JAP;USA;,0
